Species name,Nc,genome_size,Common name,Taxonomic group,Taxonomic order,Average percentage of HomAlt,Mass (grams),Generation time (years),Average maturation time,Lifespan in the wild (years),Mating strategy (binary),Number of offspring per generation,"Ne (harmonic mean, psmc)",MultiZ substitution rate,UCE substitution rate,Average yearly mutation rate (m_yearly),Modeled rate per generation (m_generation_modeled),Modeled rate per generation lower,Modeled rate per generation upper,Modeled rate per year (m_yearly_modeled),Modeled_rate_per_year_lower,Modeled_rate_per_year_upper,mean_x,sd,lower_x,upper_x,n_eff
Chrysemys_picta,NA,2474248364,Painted turtle,Reptile,Testudines,0.22,57,20,5.5,25,polygamy,lot,51738.859,0.132628484,0.246706183,2.30E-10,,,,,,,,,,,
Coleonyx_brevis,NA,2141558023,Texas banded gecko,Reptile,Squamata,0.04,2.6,0.3,0.2,15,polygamy,lot,653901.364,0.062359534,0.103245453,3.17E-09,5.87E-09,3.68E-09,8.53E-09,1.96E-08,1.23E-08,2.84E-08,1.024709645,0.217749776,0.6431649,1.49567125,18486.0807
Eublepharis_macularius,NA,2017070936,Leopard gecko,Reptile,Squamata,0.14,65,1.5,1,5,polygamy,lot,203853.074,0.045265653,0.085183656,1.15E-09,5.03E-09,3.00E-09,7.60E-09,3.35E-09,2.00E-09,5.07E-09,0.832776875,0.19981699,0.4899766,1.27168375,10207.09325
Pogona_vitticeps,NA,1716675060,Central bearded dragon,Reptile,Squamata,0.7,400,2,1.5,8,polygamy,lot,725305.279,0.183449107,0.400872653,7.17E-09,,,,,,,,,,,
Sphaerodactylus_inigoi,NA,2144129289,Big-scaled least gecko,Reptile,Squamata,0.31,70,1.5,0.8,15,polygamy,lot,159400.834,0.108794926,0.193909867,9.07E-09,,,,,,,,,,,
Thamnophis_sirtalis,NA,1424897867,Common garter snake,Reptile,Squamata,0.43,150,2,1.5,2,polygamy,lot,320866.19,0.278284066,0.535980361,1.27E-08,,,,,,,,,,,
Ailurus_fulgens,NA,2342939053,Red panda,Mammal,Carnivora,0.14,5000,6,1.5,9,polygamy,few,11371.153,0.047665022,0.0398297,1.16E-09,1.07E-08,8.57E-09,1.33E-08,1.79E-09,1.43E-09,2.21E-09,1.494637008,0.253931259,1.0494385,2.045372,1958.922011
Arctocephalus_gazella,850000,2313585684,Antarctic fur seal,Mammal,Carnivora,0.1,85000,9,3.5,25,polygamy,few,28220.476,0.015806119,0.017514847,7.54E-10,,,,,,,,,,,
Canis_lupus_familiaris,NA,2410976875,Dog,Mammal,Carnivora,0.08,30000,3,0.75,30,polygamy,lot,102454.388,0.010636952,0.008337489,4.34E-09,9.02E-09,7.47E-09,1.07E-08,3.01E-09,2.49E-09,3.57E-09,1.399175513,0.135118411,1.14728,1.677272,8319.937485
Capra_hircus,57452229.41,2922813246,Goat,Mammal,Cetartiodactyla,0.12,45000,4.5,0.75,15,polygamy,few,44467.082,0.034357794,0.028072434,3.89E-09,5.87E-09,4.51E-09,7.42E-09,1.30E-09,1.00E-09,1.65E-09,0.856750609,0.107388349,0.661382675,1.08083425,12232.07939
Cavia_aperea,11151353961,2716396567,Guinea pig,Mammal,Rodentia,0.15,760,1,0.1,3,polygamy,lot,189133.478,0.149539194,0.117536029,7.62E-09,8.59E-09,6.90E-09,1.05E-08,8.59E-09,6.90E-09,1.05E-08,1.45242896,0.156403515,1.1614475,1.774904,14607.53773
Ceratotherium_simum_simum,1496699.49,2464367180,Southern White Rhinoceros,Mammal,Perissodactyla,0.02,2300000,12,5,48,polygamy,few,10942.562,0.051060226,0.042864683,5.55E-10,8.30E-09,5.97E-09,1.11E-08,6.92E-10,4.97E-10,9.21E-10,0.95491331,0.221730959,0.590303275,1.4568545,2253.360395
Cervus_elaphus_yarkandensis,41086431.5,2390012659,Red deer,Mammal,Cetartiodactyla,0.14,282000,4,1.5,25,polygamy,few,67526.601,0.003152992,0.006438454,8.25E-10,5.78E-09,2.99E-09,9.57E-09,1.44E-09,7.48E-10,2.39E-09,0.863897922,0.266063564,0.433853325,1.47413825,8628.960994
Cervus_nippon,2035989.75,2632653317,Cervus nippon,Mammal,Cetartiodactyla,0.15,45000,4,1.5,16,polygamy,few,347419.204,0.002857451,0.002241578,9.96E-10,4.66E-09,2.82E-09,6.96E-09,1.16E-09,7.04E-10,1.74E-09,0.694877284,0.164998846,0.4123044,1.06012475,11319.30758
Felis_catus,NA,2641342258,Domestic cat,Mammal,Carnivora,0.14,4500,2,0.5,15,polygamy,lot,784815.488,0.010776172,0.008423002,6.20E-09,3.86E-09,2.21E-09,6.00E-09,1.93E-09,1.10E-09,3.00E-09,0.624162289,0.157195481,0.357904775,0.9701865,22105.78932
Fukomys_damarensis,NA,2333892479,Damara mole rat,Mammal,Rodentia,0.06,150,3,1.5,16,monogamy,lot,20163.111,0.126042753,0.095403717,2.47E-09,,,,,,,,,,,
Giraffa_camelopardalis,68293,2551622120,Giraffe,Mammal,Cetartiodactyla,0.23,925000,10,4,12,polygamy,few,41421.788,0.02858831,0.025895517,1.44E-09,1.11E-08,7.89E-09,1.49E-08,1.11E-09,7.89E-10,1.49E-09,1.338689903,0.24490264,0.906985225,1.87022075,4270.100084
Hippopotamus_amphibius,8988030.54,2733493772,Hippopotamus,Mammal,Cetartiodactyla,0.05,3000000,10,3.5,50,polygamy,few,24767.997,0.063118936,0.053151186,5.72E-10,8.90E-09,6.27E-09,1.21E-08,8.90E-10,6.27E-10,1.21E-09,1.089269584,0.270778096,0.659557,1.71397025,2023.585434
Homo_sapiens,269197271.1,3099706404,Human,Mammal,Primate,0.04,78000,28,13,65,monogamy,few,6632.055,0.026765873,0.00548544,4.14E-10,1.17E-08,9.54E-09,1.41E-08,4.18E-10,3.41E-10,5.03E-10,0.927266648,0.231845696,0.5684954,1.48345125,1524.149203
Hylobates_lar,2809301.88,2851323983,Lar gibbon,Mammal,Primate,0.5,6000,17,7.75,30,monogamy,few,23734.379,0.02655042,0.017668131,8.15E-10,9.05E-09,6.02E-09,1.27E-08,5.33E-10,3.54E-10,7.49E-10,0.89848979,0.188001979,0.574350825,1.31102275,4397.493801
Mandrillus_leucophaeus,4000,3061992840,Drill,Mammal,Primate,0.2,18000,11,3.5,28,polygamy,few,53332.443,0.033923068,0.027753198,4.62E-10,5.84E-09,4.41E-09,7.47E-09,5.31E-10,4.01E-10,6.79E-10,0.689862409,0.140515653,0.45170155,1.00430225,2251.307474
