"From","To","Estimate","Lower","Upper","Significant"
"MA","OPG",-2.68657637102796,-4.04187254314347,-1.4822787129862,TRUE
"MA","BM",0.536840146930406,0.379435727133875,0.699535069336595,TRUE
"MA","GT",0.61832389224589,0.446110279187195,0.819634297641496,TRUE
"MA","LS",0.506524462863108,0.255815040056005,0.776511165771364,TRUE
"OPG","GT",-0.407338719402272,-0.811549384863272,-0.00670788521281205,TRUE
"OPG","Ne",-0.248905795064256,-0.777893367916604,0.290855708770261,FALSE
"OPG","u",-0.070550483646846,-0.853174478158451,0.721790624571455,FALSE
"MS","BM",0.265740967076142,-0.11585255529448,0.646628338669591,FALSE
"MS","GT",0.0840988248975609,-0.237792601086853,0.433441527393016,FALSE
"MS","Ne",0.0669728269373378,-0.374237261177933,0.503348097225405,FALSE
"MS","LS",-0.0956786173643656,-0.529041219242374,0.33302656029143,FALSE
"BM","Ne",-0.0482677243697741,-0.296847733408976,0.200929679630294,FALSE
"BM","u",0.007403257410988,-0.304017150905268,0.332905155395115,FALSE
"BM","LS",0.305797062198844,0.0314622776582165,0.558540537336955,TRUE
"GT","Ne",-0.794767170659169,-1.06539231999177,-0.513192434747083,TRUE
"GT","u",0.382096085596628,0.0155576677949091,0.764944831494365,TRUE
"u","LS",-0.0286409150958553,-0.242565871778318,0.170143179141251,FALSE

