"From","To","Estimate","Lower","Upper","Significant"
"BM","MS",0.24587551919239,-0.501864342618178,1.14548387422772,FALSE
"BM","MA",0.841342936174858,0.566054826674037,1.08864001951732,TRUE
"BM","LS",0.282766577107212,0.0391982981690963,0.525735795889641,TRUE
"BM","GT",0,0,0,FALSE
"BM","u",0,0,0,FALSE
"BM","Ne",-0.0175556220848112,-0.255325115386485,0.218435760936718,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","u",0,0,0,FALSE
"MS","Ne",0.0832449335030648,-0.324631981682893,0.495264749951843,FALSE
"MA","BM",0,0,0,FALSE
"MA","MS",0,0,0,FALSE
"MA","LS",0.516408958890903,0.260115406836833,0.766340448809148,TRUE
"MA","GT",0.658011263302319,0.494989208649198,0.83065670059356,TRUE
"MA","u",0,0,0,FALSE
"MA","Ne",0,0,0,FALSE
"LS","BM",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0373896372800655,0.301176354819876,FALSE
"LS","u",0,0,0,FALSE
"LS","Ne",0,0,0,FALSE
"GT","BM",0,0,0,FALSE
"GT","MS",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","u",0.412230655295671,0.183401883041377,0.642223381239201,TRUE
"GT","Ne",-0.719855795645389,-0.952855717083092,-0.479388140856308,TRUE
"u","BM",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
