"From","To","Estimate","Lower","Upper","Significant"
"BM","MS",0.248154737313293,-0.501629763025841,1.06889484168679,FALSE
"BM","MA",0.814082837446079,0.563432329384842,1.09859171557702,TRUE
"BM","LS",0.273904932932457,0.0195251143601409,0.508776360348443,TRUE
"BM","GT",0,0,0,FALSE
"BM","u",0,0,0,FALSE
"BM","Ne",0.140666966097289,-0.151169133793067,0.456493357165529,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","u",0,0,0,FALSE
"MS","Ne",0.0352667100324005,-0.428365666254142,0.502598372330044,FALSE
"MA","BM",0,0,0,FALSE
"MA","MS",0,0,0,FALSE
"MA","LS",0.523430693024006,0.292349294126598,0.770910865298029,TRUE
"MA","GT",0.650954334528553,0.482082460376827,0.836579150365608,TRUE
"MA","u",0,0,0,FALSE
"MA","Ne",0,0,0,FALSE
"LS","BM",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.1255936375307,-0.0603850194203005,0.303900673569532,FALSE
"LS","u",0,0,0,FALSE
"LS","Ne",0,0,0,FALSE
"GT","BM",0,0,0,FALSE
"GT","MS",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","u",0.385073985226133,0.140921547629067,0.631194184655566,TRUE
"GT","Ne",-0.766190229271062,-1.0620616596286,-0.470337381482496,TRUE
"u","BM",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
