"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.563496501020976,1.10802640873995,TRUE
"BM","LS",0.282766577107212,0.0393882063686127,0.514699168628386,TRUE
"BM","GT",0,0,0,FALSE
"BM","MS",0.24587551919239,-0.463690117010653,1.08608574847194,FALSE
"BM","Ne",-0.0175556220848111,-0.267627937906511,0.232796751939508,FALSE
"BM","u",0,0,0,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408958890903,0.296729755423385,0.750471354391221,TRUE
"MA","GT",0.658011263302319,0.482285111318662,0.816730271565948,TRUE
"MA","MS",0,0,0,FALSE
"MA","Ne",0,0,0,FALSE
"MA","u",0,0,0,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0452623645353237,0.298100303221645,FALSE
"LS","MS",0,0,0,FALSE
"LS","Ne",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","MS",0,0,0,FALSE
"GT","Ne",-0.719855795645389,-0.979041313846959,-0.490448912577035,TRUE
"GT","u",0.359661772823547,0.0215203229601809,0.706418366204078,TRUE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","Ne",0.0832449335030647,-0.339288130405332,0.519225793293141,FALSE
"MS","u",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",-0.0712679198029266,-0.428412663432433,0.264600535124563,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
