"From","To","Coefficient","StdError"
"MA","MA",0,0
"OPG","MA",0,0
"LS","MA",0,0
"GT","MA",0,0
"Ne","MA",0,0
"BM","MA",0,0
"MS","MA",0,0
"u","MA",0,0
"MA","OPG",0,0
"OPG","OPG",0,0
"LS","OPG",0,0
"GT","OPG",0,0
"Ne","OPG",0,0
"BM","OPG",0,0
"MS","OPG",0,0
"u","OPG",0,0
"MA","LS",0,0
"OPG","LS",0,0
"LS","LS",0,0
"GT","LS",0,0
"Ne","LS",0,0
"BM","LS",0,0
"MS","LS",0,0
"u","LS",0,0
"MA","GT",0.658011263302319,0.0866388764574929
"OPG","GT",0,0
"LS","GT",0.131297723673051,0.0880603714225911
"GT","GT",0,0
"Ne","GT",0,0
"BM","GT",0,0
"MS","GT",0,0
"u","GT",0,0
"MA","Ne",0,0
"OPG","Ne",0,0
"LS","Ne",0,0
"GT","Ne",-0.737623361517129,0.0927475553119013
"Ne","Ne",0,0
"BM","Ne",0,0
"MS","Ne",0,0
"u","Ne",0,0
"MA","BM",0,0
"OPG","BM",0,0
"LS","BM",0,0
"GT","BM",0,0
"Ne","BM",0,0
"BM","BM",0,0
"MS","BM",0,0
"u","BM",0,0
"MA","MS",0,0
"OPG","MS",0,0
"LS","MS",0,0
"GT","MS",0,0
"Ne","MS",0,0
"BM","MS",0,0
"MS","MS",0,0
"u","MS",0,0
"MA","u",0.384047861045717,0.254508647072211
"OPG","u",0.0791294076739122,0.399892010512229
"LS","u",-0.118849009741658,0.193049152991507
"GT","u",0.288937190201055,0.296676251414276
"Ne","u",-0.0592471589952513,0.190418908586164
"BM","u",-0.138665375533636,0.193221801982828
"MS","u",0.538517715810085,0.310425438781579
"u","u",0,0
