"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.584862062708937,1.08168728707585,TRUE
"BM","LS",0.282766519601509,0.0437247421922202,0.514130543144789,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-1.31559970319616,-2.0060849437693,0.0875058872623629,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.796075305880761,-0.0622908858854096,2.06150683678823,FALSE
"BM","u",-0.147762978303365,-0.483932386175125,0.218566017689545,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408991627747,0.273755935847594,0.759746989905432,TRUE
"MA","GT",0.658011263302319,0.488780225762223,0.824278697096654,TRUE
"MA","OPG",-1.28465239624217,-2.98466510777978,0.0763717877612026,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.913232139629793,-2.22966516107857,-0.135491230225203,TRUE
"MA","u",0.374740212319251,-0.0792056674286303,0.829002181904921,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0366515701483929,0.302222184788408,FALSE
"LS","OPG",0.235888539993423,-0.79162177859618,1.24557538754802,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",-0.113907276407545,-0.464646098225561,0.232107270506188,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.32308675243156,-2.4400902054803,0.45961159960623,FALSE
"GT","Ne",-0.737623361517129,-0.910247360308876,-0.571974830307773,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.265272148800918,-0.214966004978461,0.768593412877897,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",-0.0642515003870867,-0.389634292501945,0.27665422653958,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.532204373516391,-0.0279529705393161,1.12009167509175,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","MS",0,0,0,FALSE
