"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.561502480955844,1.09766581099649,TRUE
"BM","LS",0.282766519601509,0.0571645048568008,0.529482236107722,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-1.31559970319616,-1.96739529425725,0.0973665718374943,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.796075305880761,-0.0413980467628069,2.16620413957584,FALSE
"BM","u",0,0,0,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408991627747,0.27115198297903,0.752243251645939,TRUE
"MA","GT",0.658011263302319,0.487566174589681,0.81038492927495,TRUE
"MA","OPG",-1.28465239624217,-2.85593937160231,0.206736328500033,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.913232139629793,-2.21852148795514,-0.0417910978979692,TRUE
"MA","u",0,0,0,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0328309149432101,0.306685173083947,FALSE
"LS","OPG",0.235888539993423,-0.88846925850806,1.14893715988115,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.32308675243156,-2.50574067286654,0.234774692304954,FALSE
"GT","Ne",-0.737623361517129,-0.907374386359751,-0.563635458434255,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.447932385988338,0.219261045039946,0.684179511089704,TRUE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.390692292150904,-0.147990962526404,0.893124110599405,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
