"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.559405440194243,1.09193487292541,TRUE
"BM","LS",0.282766519601509,0.068566567966463,0.536830421179505,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-1.31559970319616,-2.05054957714069,0.128149988938156,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.796075305880761,-0.108485913778716,1.98656420608819,FALSE
"BM","u",0,0,0,FALSE
"BM","GS",-0.0163291969766333,-0.152622883543708,0.113711034373978,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408991627747,0.295238687879302,0.759009330464326,TRUE
"MA","GT",0.658011263302319,0.486096073042552,0.82684069626071,TRUE
"MA","OPG",-1.28465239624217,-2.76087134014082,0.253018905783326,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.913232139629793,-1.97629469534176,-0.0788675900865349,TRUE
"MA","u",0,0,0,FALSE
"MA","GS",-0.0763427568703719,-0.227900862603247,0.0713149926501386,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0272284213967385,0.292621753252153,FALSE
"LS","OPG",0.235888539993423,-0.892589232310521,1.26600863926393,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"LS","GS",0.0652932367619447,-0.0196074973006657,0.149976696225203,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.32308675243156,-2.45996912991677,0.269520136740912,FALSE
"GT","Ne",-0.737623361517129,-0.911821383083317,-0.554449647196818,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.447932385988338,0.210603675496289,0.681341401369542,TRUE
"GT","GS",0.0990109764729462,-0.0687493280602316,0.284044627196579,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"OPG","GS",-0.0406801844736977,-0.266112321647431,0.186591705155428,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"Ne","GS",0.0629548753378676,-0.0243081156472673,0.154553923832661,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.390692292150904,-0.137707419189656,0.935218790087742,FALSE
"MS","GS",-0.101797372210635,-0.270976672248751,0.0602847531159065,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",-0.00467400862476169,-0.0721142430280982,0.0673833589675211,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
