"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.814082837446079,0.548819219885648,1.08808746223909,TRUE
"BM","LS",0.273904862958897,0.0195518841553223,0.521336260121036,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-0.860637743074883,-1.60248988448542,0.417987688010821,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.819976133539523,-0.0733965618879016,2.11229871645179,FALSE
"BM","u",0,0,0,FALSE
"BM","GS",-0.020979652531395,-0.170039726695626,0.138689439068927,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.523430733588514,0.295333804777394,0.755268485642057,TRUE
"MA","GT",0.650954334528553,0.474756900506396,0.82438510372443,TRUE
"MA","OPG",-1.15436758843979,-2.82792821652436,0.278330196298455,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.97717467978233,-2.11753098384534,-0.0250410465533682,TRUE
"MA","u",0,0,0,FALSE
"MA","GS",-0.0684222438578968,-0.238895583988586,0.0968789422022377,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.1255936375307,-0.0453047101355058,0.295092973797137,FALSE
"LS","OPG",-0.0258138019299588,-1.25298333287491,0.930870018576245,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"LS","GS",0.0564615407493511,-0.0349358905386262,0.146720451054654,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.16721227452298,-2.46452994183892,0.450691072153467,FALSE
"GT","Ne",-0.7030618914438,-0.959303703972389,-0.453681128525355,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.423733869198827,0.16713399533408,0.680829295867344,TRUE
"GT","GS",0.0198430309970437,-0.170864884301659,0.197417661761074,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"OPG","GS",-0.0820481785369701,-0.319136736831586,0.17714313014522,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"Ne","GS",-0.0245964988733601,-0.131615490365735,0.0808447353079161,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.353388660208998,-0.184581807059828,0.851368680511003,FALSE
"MS","GS",-0.0756710662459051,-0.261147341292433,0.113733883187417,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",-0.0173429576965018,-0.0972955579989425,0.0684421282725293,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
