"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.580115168760582,1.10723733516699,TRUE
"BM","LS",0.282766519601509,0.0442193062647757,0.520691747376717,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-1.31559970319616,-2.11694948269312,0.15611697210094,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.796075305880761,-0.00426883644299238,1.9444399853339,FALSE
"BM","GS",-0.0147774133441967,-0.146411540088702,0.126960630735868,FALSE
"BM","u",0,0,0,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408991627747,0.292302991520782,0.756958756847889,TRUE
"MA","GT",0.658011263302319,0.517667353328207,0.827038286667975,TRUE
"MA","OPG",-1.28465239624217,-2.87718715812986,0.108389348508266,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.913232139629793,-2.1717400647233,-0.0745453062811174,TRUE
"MA","GS",-0.0887435777827032,-0.235757359374318,0.0596740961239934,FALSE
"MA","u",0,0,0,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0371025701803393,0.307200738657643,FALSE
"LS","OPG",0.235888539993423,-0.837965522375567,1.25334935139542,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","GS",0.0592443834851761,-0.0223401194962277,0.141740782384953,FALSE
"LS","u",0,0,0,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.32308675243156,-2.48782666706628,0.341625484353937,FALSE
"GT","Ne",-0.737623361517129,-0.903699903507719,-0.554754647358373,TRUE
"GT","MS",0,0,0,FALSE
"GT","GS",0.0540920582198736,-0.0892143369475283,0.214579639605098,FALSE
"GT","u",0.447932385988338,0.204243058960847,0.687051852641864,TRUE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","GS",-0.0598123123937943,-0.295506557528131,0.160270004305962,FALSE
"OPG","u",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","GS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","GS",-0.0914120739008485,-0.25269114812984,0.0726628185635784,FALSE
"MS","u",0.390692292150904,-0.0858205562520787,0.960242222541897,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",0,0,0,FALSE
