"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.814082837446079,0.562914105531325,1.06751336153762,TRUE
"BM","LS",0.273904862958897,0.0236148534102976,0.507497007678579,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-0.860637743074883,-1.74679489042189,0.342744077837698,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.819976133539523,-0.0555955148332816,2.0058749662864,FALSE
"BM","u",-0.145490333653622,-0.5131687240487,0.212954107124338,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.523430733588514,0.277509321255239,0.761551811971495,TRUE
"MA","GT",0.650954334528553,0.481006613213586,0.810791568137665,TRUE
"MA","OPG",-1.15436758843979,-2.69866968923853,0.38375805648064,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.97717467978233,-2.07588268377405,-0.0716445366705103,TRUE
"MA","u",0.380683153685603,-0.0444817482662241,0.842941660900095,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.1255936375307,-0.0449989749784997,0.300521159318338,FALSE
"LS","OPG",-0.0258138019299588,-1.25591932610444,0.89072328524076,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",-0.125916767170541,-0.482301477626479,0.254914537476653,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.16721227452298,-2.53400947311027,0.367441242038558,FALSE
"GT","Ne",-0.7030618914438,-0.964680686406774,-0.452719144917117,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.29280700694489,-0.155686778402145,0.789087895063162,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.50139644416278,-0.0914835418528213,1.14207236383123,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
