"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.572388773323236,1.09226194834608,TRUE
"BM","LS",0.282766519601509,0.0415722866623768,0.515000389395758,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-0.91441370996596,-1.77637581818801,0.398560438202641,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.796075305880761,-0.00886933443438618,1.90748213921941,FALSE
"BM","u",0,0,0,FALSE
"BM","GS",-0.0155112556743454,-0.157800922691952,0.125506118420685,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408991627747,0.275774200452796,0.7689404619178,TRUE
"MA","GT",0.658011263302319,0.473723157646145,0.830062422199472,TRUE
"MA","OPG",-1.19015292609003,-3.38366888206201,0.432533426632368,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.913232139629793,-1.99072424787924,-0.09888118496343,TRUE
"MA","u",0.27457131703222,-0.151217797047086,0.689709769106099,FALSE
"MA","GS",-0.0684483566604343,-0.201987297067287,0.0766693259018632,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0502377066404161,0.30126586946871,FALSE
"LS","OPG",0,0,0,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"LS","GS",0.0643499896132016,-0.017388366417677,0.149174400176432,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.50244983203206,-2.86796515838507,0.362560102366671,FALSE
"GT","Ne",-0.737623361517129,-0.918358584556876,-0.567939694384025,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.219148872201159,-0.214055061169464,0.633208497746068,FALSE
"GT","GS",0.106024361668315,-0.0519810828526868,0.261368808530076,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"OPG","GS",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"Ne","GS",0.065526708971369,-0.0309678164410177,0.155867340868645,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.398302303085063,-0.166082726293305,0.928820514762908,FALSE
"MS","GS",-0.103128544853801,-0.266779677969761,0.0823157993396243,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",-0.0028325297709598,-0.0764602331882597,0.0715012820165449,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
