"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.841342936174858,0.58477228376191,1.10070557575144,TRUE
"BM","LS",0.282766519601509,0.0526911426715003,0.514031026184367,TRUE
"BM","GT",0,0,0,FALSE
"BM","Ne",0,0,0,FALSE
"BM","OPG",-1.31559970319616,-2.07757974181294,0.0946963574028081,FALSE
"BM","MS",0.796075305880761,-0.0268600048969815,1.85643305051905,FALSE
"BM","u",0,0,0,FALSE
"BM","GS",-0.0147774133441967,-0.150443417296358,0.116785510048933,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.516408991627747,0.282875559502843,0.731567140779974,TRUE
"MA","GT",0.658011263302319,0.489317758933763,0.8230228572486,TRUE
"MA","Ne",0,0,0,FALSE
"MA","OPG",-1.28465239624217,-3.13294968722996,0.304442361486687,FALSE
"MA","MS",-0.913232139629793,-1.91144598295015,-0.043673635050672,TRUE
"MA","u",0.455789759935762,0.227223453579873,0.68874702850593,TRUE
"MA","GS",-0.0887435777827032,-0.236060996392531,0.066004855887048,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.131297723673051,-0.0373200529685652,0.306905047116927,FALSE
"LS","Ne",0,0,0,FALSE
"LS","OPG",0.235888539993423,-0.90167612992053,1.23963901214432,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"LS","GS",0.0592443834851761,-0.0261801627390048,0.142318722799053,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","Ne",-0.737623361517129,-0.911882931003156,-0.547674861248153,TRUE
"GT","OPG",-1.32308675243156,-2.57466542721249,0.350084609828662,FALSE
"GT","MS",0,0,0,FALSE
"GT","u",0,0,0,FALSE
"GT","GS",0.0540920582198736,-0.115775458014024,0.208011594651804,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"Ne","GS",0,0,0,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"OPG","GS",-0.0598123123937943,-0.287418746417846,0.169027304418412,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","u",0.374693188351894,-0.168088737037771,0.881315176907018,FALSE
"MS","GS",-0.0914120739008485,-0.264880482342146,0.0833204368626461,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",0,0,0,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
