"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.814082837446079,0.55507177895596,1.07760712929886,TRUE
"BM","LS",0.273904862958897,0.018432635100726,0.531847946188165,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-0.820124918399917,-1.6767337780243,0.472650972791648,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.819976133539523,-0.0296207214314099,2.05393788654075,FALSE
"BM","u",0,0,0,FALSE
"BM","GS",-0.0180605756726519,-0.165913747913144,0.123258572458359,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.523430733588514,0.280819704128061,0.760430227078164,TRUE
"MA","GT",0.650954334528553,0.472632348247648,0.819394623690451,TRUE
"MA","OPG",-1.16337459941608,-3.33654361951572,0.445480889312457,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.97717467978233,-2.14429961030177,-0.133272490639038,TRUE
"MA","u",0.266846669770311,-0.152909491435227,0.692868566820644,FALSE
"MA","GS",-0.0555536230941159,-0.208423908062001,0.107007280144068,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.1255936375307,-0.0427435101523966,0.304457611389065,FALSE
"LS","OPG",0,0,0,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"LS","GS",0.0546344490426987,-0.0274321478306563,0.147004962485664,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.55226611978914,-3.2070624832205,0.286754735234537,FALSE
"GT","Ne",-0.7030618914438,-0.967295487742164,-0.441408164221856,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.204391049158778,-0.224362740637348,0.627624699167704,FALSE
"GT","GS",0.0356692565900715,-0.164293000031518,0.233754528284764,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"OPG","GS",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"Ne","GS",-0.0204911954372254,-0.130727471080768,0.094576073132259,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.364742328866647,-0.180589654126595,0.920738195489783,FALSE
"MS","GS",-0.0789293437449563,-0.286404855308649,0.100418898642555,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",-0.0128159460564241,-0.0971148020506366,0.0674333548082608,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
