"From","To","Estimate","Lower","Upper","Significant"
"BM","MA",0.814082837446079,0.531070587684617,1.07988124985298,TRUE
"BM","LS",0.273904862958897,0.0171137950762508,0.518182275406061,TRUE
"BM","GT",0,0,0,FALSE
"BM","OPG",-0.820124918399917,-1.6709920858068,0.429587123242711,FALSE
"BM","Ne",0,0,0,FALSE
"BM","MS",0.819976133539523,-0.0698055646298855,1.88823259717486,FALSE
"BM","u",0,0,0,FALSE
"BM","GS",-0.0134997394095794,-0.160302988981575,0.136875205064273,FALSE
"MA","BM",0,0,0,FALSE
"MA","LS",0.523430733588514,0.280540834940948,0.765413382254885,TRUE
"MA","GT",0.650954334528553,0.478164586718734,0.817703159843719,TRUE
"MA","OPG",-1.16337459941608,-3.25098335004981,0.495668263436004,FALSE
"MA","Ne",0,0,0,FALSE
"MA","MS",-0.97717467978233,-2.21325490652794,-0.0210293601646665,TRUE
"MA","u",0.266846669770311,-0.204733196372976,0.6631193646544,FALSE
"MA","GS",-0.0659887142420709,-0.21856825243168,0.0814722507425554,FALSE
"LS","BM",0,0,0,FALSE
"LS","MA",0,0,0,FALSE
"LS","GT",0.1255936375307,-0.0443662922442852,0.298358840456352,FALSE
"LS","OPG",0,0,0,FALSE
"LS","Ne",0,0,0,FALSE
"LS","MS",0,0,0,FALSE
"LS","u",0,0,0,FALSE
"LS","GS",0.0566582124706065,-0.0284470728001665,0.147017248021295,FALSE
"GT","BM",0,0,0,FALSE
"GT","MA",0,0,0,FALSE
"GT","LS",0,0,0,FALSE
"GT","OPG",-1.55226611978914,-3.18036427266666,0.289159749723954,FALSE
"GT","Ne",-0.7030618914438,-0.971098784188579,-0.439767209229709,TRUE
"GT","MS",0,0,0,FALSE
"GT","u",0.204391049158778,-0.210974837124956,0.666968854635329,FALSE
"GT","GS",0.0497053605906416,-0.105144134084729,0.218501072940799,FALSE
"OPG","BM",0,0,0,FALSE
"OPG","MA",0,0,0,FALSE
"OPG","LS",0,0,0,FALSE
"OPG","GT",0,0,0,FALSE
"OPG","Ne",0,0,0,FALSE
"OPG","MS",0,0,0,FALSE
"OPG","u",0,0,0,FALSE
"OPG","GS",0,0,0,FALSE
"Ne","BM",0,0,0,FALSE
"Ne","MA",0,0,0,FALSE
"Ne","LS",0,0,0,FALSE
"Ne","GT",0,0,0,FALSE
"Ne","OPG",0,0,0,FALSE
"Ne","MS",0,0,0,FALSE
"Ne","u",0,0,0,FALSE
"Ne","GS",0,0,0,FALSE
"MS","BM",0,0,0,FALSE
"MS","MA",0,0,0,FALSE
"MS","LS",0,0,0,FALSE
"MS","GT",0,0,0,FALSE
"MS","OPG",0,0,0,FALSE
"MS","Ne",0,0,0,FALSE
"MS","u",0.364742328866647,-0.140190668302309,0.910391878909189,FALSE
"MS","GS",-0.0904903711594231,-0.280524039497821,0.0876751114230328,FALSE
"u","BM",0,0,0,FALSE
"u","MA",0,0,0,FALSE
"u","LS",0,0,0,FALSE
"u","GT",0,0,0,FALSE
"u","OPG",0,0,0,FALSE
"u","Ne",0,0,0,FALSE
"u","MS",0,0,0,FALSE
"u","GS",0,0,0,FALSE
"GS","BM",0,0,0,FALSE
"GS","MA",0,0,0,FALSE
"GS","LS",0,0,0,FALSE
"GS","GT",0,0,0,FALSE
"GS","OPG",0,0,0,FALSE
"GS","Ne",0,0,0,FALSE
"GS","MS",0,0,0,FALSE
"GS","u",0,0,0,FALSE
